;;;Utility;Suppressed;Transformation
Dataset;Privacy model;Uniqueness;Value;Value;Value
Adult;p-uniqueness (dankar);0.001;9.805829974612523;0.0;(0%, 75%, 0%, 0%, 33%, 50%, 0%, 50%, 0%)
Adult;p-uniqueness (dankar);0.002;14.21937214978637;10.669053776274783;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (dankar);0.003;13.242091380113052;9.667793912870499;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (dankar);0.004;12.416821941838418;8.822359259996022;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (dankar);0.005;3.9584122159128876;0.0;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (dankar);0.006;2.940553410295066;0.0;(0%, 50%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (dankar);0.007;2.940553410295066;0.0;(0%, 50%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (dankar);0.008;2.399799523491164;0.0;(0%, 25%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (dankar);0.009;2.399799523491164;0.0;(0%, 25%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (dankar);0.01;2.399799523491164;0.0;(0%, 25%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (pitman);0.001;9.805829974612523;0.0;(0%, 75%, 0%, 0%, 33%, 50%, 0%, 50%, 0%)
Adult;p-uniqueness (pitman);0.002;8.72052137220738;0.0;(0%, 50%, 0%, 0%, 33%, 50%, 50%, 0%, 0%)
Adult;p-uniqueness (pitman);0.003;6.772642453425437;0.0;(0%, 75%, 0%, 0%, 33%, 50%, 0%, 0%, 0%)
Adult;p-uniqueness (pitman);0.004;5.727229465637729;0.0;(0%, 50%, 0%, 0%, 33%, 50%, 0%, 0%, 0%)
Adult;p-uniqueness (pitman);0.005;3.9584122159128876;0.0;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (pitman);0.006;2.940553410295066;0.0;(0%, 50%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (pitman);0.007;2.940553410295066;0.0;(0%, 50%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (pitman);0.008;2.399799523491164;0.0;(0%, 25%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (pitman);0.009;2.399799523491164;0.0;(0%, 25%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (pitman);0.01;2.399799523491164;0.0;(0%, 25%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.001;15.487742132980408;11.968702340693588;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.002;14.21937214978637;10.669053776274783;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.003;13.242091380113052;9.667793912870499;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.004;12.416821941838418;8.822359259996022;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.005;11.687450722623804;8.073072077448446;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.006;11.03159771135429;7.396724355148863;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.007;10.42713104523969;6.77342351302964;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.008;9.861200513633527;6.189907831045686;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.009;9.333814813796604;5.646177309197003;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.01;8.835721270371977;5.128970227438499;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.001;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.002;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.003;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.004;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.005;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.006;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.007;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.008;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.009;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.01;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Cup;p-uniqueness (dankar);0.001;5.277556414229023;0.0;(60%, 50%, 0%, 0%, 0%, 25%, 50%, 0%)
Cup;p-uniqueness (dankar);0.002;4.292278557798279;0.0;(60%, 50%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (dankar);0.003;3.6761448050818046;0.0;(60%, 25%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (dankar);0.004;3.6761448050818046;0.0;(60%, 25%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (dankar);0.005;3.6761448050818046;0.0;(60%, 25%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (dankar);0.006;3.6761448050818046;0.0;(60%, 25%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (dankar);0.007;3.6761448050818046;0.0;(60%, 25%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (dankar);0.008;3.164098117054781;0.0;(60%, 0%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (dankar);0.009;3.164098117054781;0.0;(60%, 0%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (dankar);0.01;2.681544811484371;0.0;(60%, 25%, 0%, 0%, 0%, 25%, 0%, 0%)
Cup;p-uniqueness (pitman);0.001;5.277556414229023;0.0;(60%, 50%, 0%, 0%, 0%, 25%, 50%, 0%)
Cup;p-uniqueness (pitman);0.002;4.292278557798279;0.0;(60%, 50%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (pitman);0.003;3.6761448050818046;0.0;(60%, 25%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (pitman);0.004;3.6761448050818046;0.0;(60%, 25%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (pitman);0.005;3.6761448050818046;0.0;(60%, 25%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (pitman);0.006;3.6761448050818046;0.0;(60%, 25%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (pitman);0.007;3.6761448050818046;0.0;(60%, 25%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (pitman);0.008;3.164098117054781;0.0;(60%, 0%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (pitman);0.009;3.164098117054781;0.0;(60%, 0%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (pitman);0.01;2.681544811484371;0.0;(60%, 25%, 0%, 0%, 0%, 25%, 0%, 0%)
Cup;p-uniqueness (zayatz);0.001;9.084915703162588;0.0;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;p-uniqueness (zayatz);0.002;8.064005306173016;0.0;(80%, 50%, 0%, 0%, 0%, 25%, 25%, 25%)
Cup;p-uniqueness (zayatz);0.003;8.064005306173016;0.0;(80%, 50%, 0%, 0%, 0%, 25%, 25%, 25%)
Cup;p-uniqueness (zayatz);0.004;8.064005306173016;0.0;(80%, 50%, 0%, 0%, 0%, 25%, 25%, 25%)
Cup;p-uniqueness (zayatz);0.005;6.917072398617274;0.0;(60%, 50%, 0%, 0%, 0%, 25%, 25%, 25%)
Cup;p-uniqueness (zayatz);0.006;10.27418911205622;2.886146183067732;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 0%)
Cup;p-uniqueness (zayatz);0.007;9.689691980439918;2.2572153654576694;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 0%)
Cup;p-uniqueness (zayatz);0.008;9.144675384576683;1.670843776106934;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 0%)
Cup;p-uniqueness (zayatz);0.009;8.634757405215288;1.122302611875601;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 0%)
Cup;p-uniqueness (zayatz);0.01;8.154087858924752;0.6052868019104365;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 0%)
Cup;p-uniqueness (snb);0.001;11.775767950699056;1.63458961870084;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;p-uniqueness (snb);0.002;11.775767950699056;1.63458961870084;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;p-uniqueness (snb);0.003;11.775767950699056;1.63458961870084;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;p-uniqueness (snb);0.004;11.775767950699056;1.63458961870084;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;p-uniqueness (snb);0.005;11.775767950699056;1.63458961870084;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;p-uniqueness (snb);0.006;11.775767950699056;1.63458961870084;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;p-uniqueness (snb);0.007;11.775767950699056;1.63458961870084;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;p-uniqueness (snb);0.008;11.775767950699056;1.63458961870084;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;p-uniqueness (snb);0.009;11.775767950699056;1.63458961870084;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;p-uniqueness (snb);0.01;11.775767950699056;1.63458961870084;(80%, 75%, 0%, 0%, 0%, 25%, 50%, 25%)
Fars;p-uniqueness (dankar);0.001;10.737991180228047;1.7654576617097795;(60%, 50%, 33%, 0%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (dankar);0.002;10.737991180228047;1.7654576617097795;(60%, 50%, 33%, 0%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (dankar);0.003;10.111325615483736;1.0828536611946065;(60%, 50%, 33%, 0%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (dankar);0.004;9.35973477146681;0.25956784925250403;(60%, 50%, 33%, 0%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (dankar);0.005;6.145529859683863;0.0;(20%, 0%, 33%, 0%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (dankar);0.006;6.145529859683863;0.0;(20%, 0%, 33%, 0%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (dankar);0.007;6.145529859683863;0.0;(20%, 0%, 33%, 0%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (dankar);0.008;6.145529859683863;0.0;(20%, 0%, 33%, 0%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (dankar);0.009;6.145529859683863;0.0;(20%, 0%, 33%, 0%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (dankar);0.01;6.145529859683863;0.0;(20%, 0%, 33%, 0%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (pitman);0.001;7.574939439168316;0.0;(20%, 0%, 33%, 33%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (pitman);0.002;7.574939439168316;0.0;(20%, 0%, 33%, 33%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (pitman);0.003;6.902814842149452;0.0;(60%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (pitman);0.004;6.902814842149452;0.0;(60%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (pitman);0.005;6.145529859683863;0.0;(20%, 0%, 33%, 0%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (pitman);0.006;6.145529859683863;0.0;(20%, 0%, 33%, 0%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (pitman);0.007;6.145529859683863;0.0;(20%, 0%, 33%, 0%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (pitman);0.008;6.145529859683863;0.0;(20%, 0%, 33%, 0%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (pitman);0.009;6.145529859683863;0.0;(20%, 0%, 33%, 0%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (pitman);0.01;6.145529859683863;0.0;(20%, 0%, 33%, 0%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (zayatz);0.001;12.18537140794509;3.3367347949711204;(60%, 50%, 33%, 0%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (zayatz);0.002;11.013643567000898;2.0646541902374747;(60%, 50%, 33%, 0%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (zayatz);0.003;10.111325615483736;1.0828536611946065;(60%, 50%, 33%, 0%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (zayatz);0.004;9.35973477146681;0.25956784925250403;(60%, 50%, 33%, 0%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (zayatz);0.005;9.122729885312687;0.0;(60%, 50%, 33%, 0%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (zayatz);0.006;9.122729885312687;0.0;(60%, 50%, 33%, 0%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (zayatz);0.007;9.122729885312687;0.0;(60%, 50%, 33%, 0%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (zayatz);0.008;6.828208391245139;0.29424294361829656;(60%, 0%, 33%, 0%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (zayatz);0.009;6.55224900086766;0.0;(60%, 0%, 33%, 0%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (zayatz);0.01;6.55224900086766;0.0;(60%, 0%, 33%, 0%, 0%, 0%, 33%, 0%)
Fars;p-uniqueness (snb);0.001;15.120261495325572;1.7922070202205338;(60%, 50%, 33%, 33%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (snb);0.002;15.120261495325572;1.7922070202205338;(60%, 50%, 33%, 33%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (snb);0.003;15.120261495325572;1.7922070202205338;(60%, 50%, 33%, 33%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (snb);0.004;15.120261495325572;1.7922070202205338;(60%, 50%, 33%, 33%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (snb);0.005;15.120261495325572;1.7922070202205338;(60%, 50%, 33%, 33%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (snb);0.006;15.120261495325572;1.7922070202205338;(60%, 50%, 33%, 33%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (snb);0.007;15.120261495325572;1.7922070202205338;(60%, 50%, 33%, 33%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (snb);0.008;15.120261495325572;1.7922070202205338;(60%, 50%, 33%, 33%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (snb);0.009;15.120261495325572;1.7922070202205338;(60%, 50%, 33%, 33%, 0%, 0%, 33%, 50%)
Fars;p-uniqueness (snb);0.01;15.120261495325572;1.7922070202205338;(60%, 50%, 33%, 33%, 0%, 0%, 33%, 50%)
Atus;p-uniqueness (dankar);0.001;6.0623351641176715;5.859587243835454;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (dankar);0.002;5.130307720114358;4.923477477176761;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (dankar);0.003;4.40303644151816;4.193022570110876;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (dankar);0.004;3.7815588224750174;3.568825764529822;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (dankar);0.005;2.4918872640931733;2.2735154000070468;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (dankar);0.006;2.4918872640931733;2.2735154000070468;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (dankar);0.007;2.156405588757848;1.936567807689526;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (dankar);0.008;1.81132250898155;1.5899772463018287;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (dankar);0.009;1.3940465508993416;1.170878975174918;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (dankar);0.01;0.996341388013966;0.7714375256141366;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (pitman);0.001;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (pitman);0.002;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (pitman);0.003;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (pitman);0.004;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (pitman);0.005;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (pitman);0.006;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (pitman);0.007;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (pitman);0.008;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (pitman);0.009;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (pitman);0.01;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.001;6.0623351641176715;5.859587243835454;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.002;5.130307720114358;4.923477477176761;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.003;4.40303644151816;4.193022570110876;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.004;3.7815588224750174;3.568825764529822;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.005;3.2276561653064695;3.012500625865781;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.006;2.721757539587122;2.5043903325526236;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.007;2.252231157780904;2.0328120566784054;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.008;1.81132250898155;1.5899772463018287;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.009;1.3940465508993416;1.170878975174918;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (zayatz);0.01;0.996341388013966;0.7714375256141366;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.001;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.002;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.003;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.004;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.005;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.006;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.007;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.008;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.009;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)
Atus;p-uniqueness (snb);0.01;8.247313711315885;8.046872247349574;(0%, 20%, 0%, 0%, 0%, 0%, 0%, 0%, 0%)